April 2021: Expense Tracker
,Desc,Merchant,Reimbursable,My Business Expense,Payment Type,Actual Spent,,Conversion (USD),Subtotal
,Dinner: KFC,Grab,,,Bangkok Bank Account,THB 234.00,,$7.20,$7.20
,Dessert: Muffins & Cookies & Tip,Grab,,,Bangkok Bank Account,THB 261.00,,$8.03,$8.03
Daily Total,,,,,,,,,$23.29
"Saturday, April 17, 2021",,,,,,,,,
,Greens Fee & Caddy Tip,Summit Green Valley,,,Cash,THB 1600.00,,$49.22,$49.22
,Drinks,Summit Green Valley,,,Cash,THB 45.00,,$1.38,$1.38
,Lunch: Pad Sen Benja,Grab,,,Bangkok Bank Account,THB 216.00,,$6.64,$6.64
,Dinner: Yummy Pizza,Grab,,,Bangkok Bank Account,THB 398.00,,$12.24,$12.24
Daily Total,,,,,,,,,$69.49
"Sunday, April 18, 2021",,,,,,,,,
,Cigs,7-Eleven,,,Cash,THB 60.00,,$1.85,$1.85
,Greens Fee,Inthannon ,,,Cash,THB 600.00,,$18.46,$18.46
,Drinks,Inthannon ,,,Cash,THB 360.00,,$11.07,$11.07
,Lunch: Hideaway Cafe,Grab,,,Bangkok Bank Account,THB 327.00,,$10.06,$10.06
,Dinner: Beast Burger,Grab,,,Bangkok Bank Account,THB 367.00,,$11.29,$11.29
,Snack: Noodle Shop & Tip,Grab,,,Bangkok Bank Account,THB 162.00,,$4.98,$4.98
,Drinks,7-Eleven,,,Cash,THB 60.00,,$1.85,$1.85
Daily Total,,,,,,,,,$59.55
"Monday, April 19, 2021",,,,,,,,,
,Breakfast,Fresh & Wraps,,,Cash,THB 175.00,,$5.38,$5.38
,Coffee,Bella Goose Cafe,,,Cash,THB 70.00,,$2.15,$2.15
,Massage,White Orchid,,,Cash,THB 100.00,,$3.08,$3.08
,Gas,Esso,,,Cash,THB 290.00,,$8.92,$8.92
,Groceries,Tesco Lotus,,,Cash,THB 334.00,,$10.27,$10.27
,Water,7-Eleven,,,Cash,THB 40.00,,$1.23,$1.23
Daily Total,,,,,,,,,$31.04
"Tuesday, April 20, 2021",,,,,,,,,
,Monthly Subscription: WSJ,WSJ,,,Credit Card: Chase Sapphire Reserve,,$	19.49,$0.00,$19.49
,Driving Range,North Hill,,,Cash,THB 40.00,,$1.23,$1.23
,"Greens Fee, Caddy Tip",North Hill,,,Cash,THB 1250.00,,$38.45,$38.45
,Drinks snacks,North Hill,,,Cash,THB 185.00,,$5.69,$5.69
,Golf balls,Lazada,,,Credit Card: Chase Sapphire Reserve,,$	41.75,$0.00,$41.75
,Dessert: Muffins & Cookies ,Grab,,,Bangkok Bank Account,THB 217.00,,$6.67,$6.67
Daily Total,,,,,,,,,$113.29
"Wednesday, April 21, 2021",,,,,,,,,
,Bike Wash,Car Wash,,,Cash,THB 140.00,,$4.31,$4.31
,Lunch,Ninja Ramen,,,Cash,THB 210.00,,$6.46,$6.46
,Coffee,Mao Coffee,,,Cash,THB 65.00,,$2.00,$2.00
,Groceries,Mae Hia Market,,,Cash,THB 230.00,,$7.07,$7.07
Daily Total,,,,,,,,,$19.84
"Thursday, April 22, 2021",,,,,,,,,
,Gym,Solid Fitness,,,Cash,THB 100.00,,$3.08,$3.08
,Groceries,TescoLotus,,,Cash,THB 269.00,,$8.27,$8.27
,Waters,7-Eleven,,,Cash,THB 34.00,,$1.05,$1.05
Daily Total,,,,,,,,,$12.40
"Friday, April 23, 2021",,,,,,,,,
,Lunch: Fresh & Wraps,Grab,,,Bangkok Bank Account,THB 271.00,,$8.34,$8.34
,Hotel Room & Greens Fee,MaeJo Golf Resort,,,Bangkok Bank Account,THB 2500.00,,$76.90,$76.90
Daily Total,,,,,,,,,$85.24
"Saturday, April 24, 2021",,,,,,,,,
,Monthly Subscription: iCloud,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,$	9.99,$0.00,$9.99
,Driving Range,MaeJo,,,Cash,THB 50.00,,$1.54,$1.54
,Drinks,MaeJo,,,Cash,THB 60.00,,$1.85,$1.85
,Caddy Tip,MaeJo,,,Cash,THB 300.00,,$9.23,$9.23
,Room Bill (Dinner),MaeJo,,,Cash,THB 201.00,,$6.18,$6.18
,Lunch: Kwan’s Kitchen,Grab,,,Bangkok Bank Account,THB 295.00,,$9.07,$9.07
,Massage,Nimman House,,,Cash,THB 375.00,,$11.53,$11.53
,Dinner,Tsunami,,,Cash,THB 400.00,,$12.30,$12.30
Daily Total,,,,,,,,,$61.70
"Sunday, April 25, 2021",,,,,,,,,
,Monthly Subscription: HBO NOW,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,$	15.89,$0.00,$15.89
,CNX Rent,Tsvetan,,,Bangkok Bank Account,THB 13000.00,,$399.88,$399.88
,Lunch: Fresh & Wraps,Grab,,,Bangkok Bank Account,THB 331.00,,$10.18,$10.18
,Groceries,TescoLotus,,,Credit Card: Chase Sapphire Reserve,,$	40.46,$0.00,$40.46
,Dinner: Yummy Pizza,Grab,,,Bangkok Bank Account,THB 394.00,,$12.12,$12.12
,Monthly Subscription: NYT,New York Times,,,Credit Card: Chase Sapphire Reserve,,$	4.00,$0.00,$4.00
Daily Total,,,,,,,,,$482.53
"Monday, April 26, 2021",,,,,,,,,
,Storage Unit,MetroSelf Storage,,,Credit Card: Chase Sapphire Reserve,,$	66.78,$0.00,$66.78
,Breakfast,Gassan Legacy,,,Cash,THB 180.00,,$5.54,$5.54
,Greens Fee & Caddy Tip,Gassan Legacy,,,Cash,THB 900.00,,$27.68,$27.68
,Drinks,Gassan Legacy,,,Cash,THB 115.00,,$3.54,$3.54
,Lunch,Ghia Kitchen,,,Cash,THB 100.00,,$3.08,$3.08
,Coffee,Cafe Amazon,,,Cash,THB 65.00,,$2.00,$2.00
,Gas,PTT,,,Cash,THB 240.00,,$7.38,$7.38
,Dinner: Burrito Squad & Corner Bistro,Grab,,,Bangkok Bank Account,THB 287.00,,$8.83,$8.83
Daily Total,,,,,,,,,$124.82
"Tuesday, April 27, 2021",,,,,,,,,
,Coffee & Water,Heartwork Cafe,,,Cash,THB 85.00,,$2.61,$2.61
,Groceries,Mae Hia,,,Cash,THB 210.00,,$6.46,$6.46
Daily Total,,,,,,,,,$9.07
"Wednesday, April 28, 2021",,,,,,,,,
,Movie: Rogue One,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,8.47,$0.00,$8.47
,Movie: Rise of Skywalker,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,$	8.47,$0.00,$8.47
Daily Total,,,,,,,,,$16.94
"Thursday, April 29, 2021",,,,,,,,,
,Cell Phone,T-Mobile,,,Credit Card: Chase Sapphire Reserve,,$	70.00,$0.00,$70.00
,Deposit for Townhouse,Jatu,,,Bangkok Bank Account,THB 5000.00,,$153.80,$153.80
,Coffee & Water,Heartwork Cafe,,,Cash,THB 95.00,,$2.92,$2.92
Daily Total,,,,,,,,,$226.72
"Friday, April 30, 2021",,,,,,,,,
,Annual Subscription: ExpressVPN,ExpressVPN ,,,Credit Card: Chase Sapphire Reserve,,$	99.95,$0.00,$99.95
,Lunch: Fresh & Wraps,Grab,,,Bangkok Bank Account,THB 241.00,,$7.41,$7.41
,Greens Fee,SanSai,,,Cash,THB 200.00,,$6.15,$6.15
,Drinks,SanSai,,,Cash,THB 165.00,,$5.08,$5.08
,Water,7-Eleven,,,Cash,THB 29.00,,$0.89,$0.89
,Dinner: Wild Hog Saloon,Tuk,,,Bangkok Bank Account,THB 314.00,,$9.66,$9.66
,Dessert,Tuk,,,Bangkok Bank Account,THB 284.00,,$8.74,$8.74
Daily Total,,,,,,,,,$137.88
GRAND TOTAL,,,,,,,,,"$2,960.12"

April 2021: Gross Income Tracker
Date Receieved,Description,Source,Amount
"Friday, April 2, 2021",Refund: Shoes,Allbirds,$95.00
"Monday, April 5, 2021",State Tax Refund,Berkheimer,$395.00
"Thursday, April 15, 2021",Paycheck,BluJay,"$2,523.18"
"Friday, April 30, 2021",Paycheck,BluJay,"$2,523.19"
,,,
Estimated (Remaining) Subtotal,,,$0.00
Estimated Grand Total,,,"$5,536.37"
GROSS INCOME TOTAL,,,"$5,536.37"

April 2021: Personal Savings & Investments
Date Made,Description,Vendor,Source,Amount
,Monthly IRA Contribution,Vanguard,PNC Bank Account,$	83.33
,Emergency Savings,Vanguard,PNC Bank Account,$	716.67
TOTAL,,,,$	800.00

April 2021: Estimated Income Tax (not deducted)
Total Upwork income,$	0.00
Total NJDA Income,$	0.00
Total Freelance Income,$	0.00
Estimated Tax,$	0.00

April 2021: Deficit/Surplus
This Month’s Start,
Estimated Month’s Net,"$	1,776.25"
Estimated Overall,
Actual Month Balance,"$	1,776.25"
Actual Overall,

April 2021: Personal Take Home
,,,,"$	4,736.37"

